"Name","Country","Region","Winery","Rating","NumberOfRatings","Price","Year"
"60 Sessantanni Old Vines Primitivo di Manduria 2016","Italy","Primitivo di Manduria","San Marzano",4.4,1028,17.24,"2016"
"62 Anniversario Primitivo di Manduria Riserva 2016","Italy","Primitivo di Manduria","San Marzano",4.3,763,17.45,"2016"
"6th Sense Syrah 2013","United States","Lodi","Michael David Winery",3.9,1571,14.82,"2013"
"6th Sense Syrah 2016","United States","Lodi","Michael David Winery",3.8,994,16.47,"2016"
"7 Lunas Vendimia Seleccionada 2005","Spain","Ribera del Duero","Campos Goticos",4.3,35,38,"2005"
"80 Years Red Blend 2015","Spain","Valencia","Torre Oria",3.9,775,7.55,"2015"
"80 Years Red Blend 2016","Spain","Valencia","Torre Oria",3.6,178,7.5,"2016"
"9 Barricas 2013","Spain","Rioja","Rioja Vega",3.7,29,25.9,"2013"
"90 Novantaceppi Appassimento Rosso 2016","Italy","Puglia","Latentia Winery",3.8,595,5.21,"2016"
"90 Novantaceppi Primitivo 2019","Italy","Puglia","Latentia Winery",3.9,343,4.55,"2019"
"À Coural 2018","France","Languedoc","Amiel",3.8,39,10.6,"2018"
"A Mano Rioja 2015","Spain","Rioja","Lan",4.3,466,33.9,"2015"
"AB Alicante Bouschet 2012","Portugal","Alentejano","Esporão",4,272,34.12,"2012"
"AB Ericio 2013","Austria","Mittelburgenland","Hans Igler",4,36,33.25,"2013"
"Abadia Cabernet Sauvignon - Tempranillo 2016","Spain","Costers del Segre","Raimat",3.4,916,7.89,"2016"
"Abadia Cabernet Sauvignon - Tempranillo 2017","Spain","Costers del Segre","Raimat",3.5,807,6.84,"2017"
"Abracadabrantesque 2014","France","Coteaux Varois en Provence","Domaine les Terres Promises",3.6,29,15.9,"2014"
"Abstract 2018","United States","California","Orin Swift",4.1,567,41.92,"2018"
"Achelo Rosso 2017","Italy","Cortona","La Braccesca",3.8,601,14.95,"2017"
"Achelo Rosso 2018","Italy","Cortona","La Braccesca",3.8,79,14.99,"2018"
"Acinatico Amarone della Valpolicella Classico 2016","Italy","Amarone della Valpolicella Classico","Stefano Accordini",4.4,347,34.95,"2016"
"Acinatico Valpolicella Classico Superiore Ripasso 2017","Italy","Valpolicella Classico","Stefano Accordini",4.1,866,15.5,"2017"
"Acinatico Valpolicella Classico Superiore Ripasso 2018","Italy","Valpolicella Classico","Stefano Accordini",3.8,60,16.7,"2018"
"Acinipo 2013","Spain","Sierras de Málaga","F. Schatz",4.1,65,19,"2013"
"Aconcagua Alto Cabernet Sauvignon 2015","Chile","Aconcagua","Errazuriz",3.8,376,21.45,"2015"
"Aconcagua Alto Carmenère 2014","Chile","Aconcagua","Errazuriz",3.8,577,21.45,"2014"
"Aconcagua Alto Carmenère 2017","Chile","Aconcagua","Errazuriz",3.9,601,21.45,"2017"
"Aconcagua Costa Pinot Noir 2017","Chile","Aconcagua Valley","Errazuriz",3.7,442,18.9,"2017"
