"Name","Country","Region","Winery","Rating","NumberOfRatings","Price","Year"
"Lytton Springs 2017","United States","Dry Creek Valley","Ridge Vineyards",4.2,450,45.95,"2017"
"LZ Rioja 2018","Spain","Rioja","Telmo Rodriguez",3.5,123,8.75,"2018"
"M Red 2012","Chile","Colchagua Valley","Montes Alpha",4.3,2101,63.39,"2012"
"M Red 2017","Chile","Colchagua Valley","Montes Alpha",4.4,171,58,"2017"
"M.I. Tinto 2017","Portugal","Douro","Quinta Maria Izabel",3.8,348,12.19,"2017"
"Macán 2015","Spain","Rioja","Benjamin de Rothschild - Vega Sicilia",4.5,88,66,"2015"
"Macán Clásico 2015","Spain","Rioja","Benjamin de Rothschild - Vega Sicilia",4.3,1073,48.54,"2015"
"Macán Clásico 2016","Spain","Rioja","Benjamin de Rothschild - Vega Sicilia",4.2,119,38.5,"2016"
"Machete 2017","United States","California","Orin Swift",4.3,405,57.51,"2017"
"Mâcon 2014","France","Mâcon","Antonin Rodet",3.1,64,10.8,"2014"
"Mácula 2006","Spain","Navarra","Bodega Tandem",3.8,261,20.89,"2006"
"Mácula 2012","Spain","Navarra","Bodega Tandem",3.9,182,17.09,"2012"
"Mácula 2013","Spain","Navarra","Bodega Tandem",3.9,62,18.42,"2013"
"Madér Garda Classico Rosso Superiore 2013","Italy","Garda","Selva Capuzza",4.1,78,16.59,"2013"
"Madiran 2016","France","Madiran","Clos Basté",3.7,60,18.5,"2016"
"Madre Toscana 2009","Italy","Toscana","Poggio Antico",4.2,135,38.09,"2009"
"Madrechiesa Morellino di Scansano Riserva 2015","Italy","Morellino di Scansano","Terenzi",4,29,38.16,"2015"
"Madurado 2016","Spain","Rioja","Montebuena",3.5,215,6.49,"2016"
"Maestro 2014","United States","Napa Valley","Robert Mondavi",4.1,2945,56.54,"2014"
"Maestro 2015","United States","Napa Valley","Robert Mondavi",4.2,325,56.54,"2015"
"Maestro Amarone della Valpolicella Classico 2015","Italy","Amarone della Valpolicella Classico","Vivaldi",4.1,422,41.92,"2015"
"Maestro Raro 2014","Italy","Toscana","Fèlsina",4,116,50.67,"2014"
"Magill Estate Shiraz 1999","Australia","Barossa","Penfolds",4.3,52,109.39,"1999"
"Magill Estate Shiraz 2017","Australia","Barossa","Penfolds",4.2,28,163.93,"2017"
"Magna Dolcetto d'Alba 2017","Italy","Dolcetto d'Alba","Paolo Manzone",3.6,46,11.6,"2017"
"Magna Malbec 2018","Argentina","San Juan","Callia",3.5,107,8.95,"2018"
"Magno Megonio Rosso 2015","Italy","Val di Neto","Librandi",3.8,275,14.32,"2015"
"Magnoux Faugères 2010","France","Faugères","Saint Antonin",3.8,95,35,"2010"
"Magnoux Faugères 2015","France","Faugères","Saint Antonin",3.9,43,17.9,"2015"
"Magrez Fombrauge Saint-Émilion Grand Cru 2005","France","Saint-Émilion Grand Cru","Château Fombrauge",4.5,27,219.95,"2005"
"Mai The First A.Montes Malbec 2014","Argentina","Mendoza","Kaiken",4.4,743,59.99,"2014"
"Mai The First A.Montes Malbec 2016","Argentina","Mendoza","Kaiken",4.4,706,61.05,"2016"
"Majuelos de Callejo 2006","Spain","Ribera del Duero","Callejo",3.8,145,29.15,"2006"
"Malabrigo Ribera del Duero 2015","Spain","Ribera del Duero","Cepa 21",4.3,187,48.45,"2015"
"Malbec 2013","Argentina","Uco Valley","DiamAndes",3.6,1122,16.56,"2013"
"Malbec 2014","Argentina","Mendoza","Achaval-Ferrer",3.9,3098,17.5,"2014"
"Malbec 2014","Argentina","Mendoza","Catena Alta",4.3,3295,44.62,"2014"
"Malbec 2015","Argentina","Mendoza","Catena Viñas",3.8,312,14.13,"2015"
"Malbec 2015","Argentina","Uco Valley","DiamAndes",3.6,283,15.99,"2015"
"Malbec 2016","Argentina","Lujan de Cuyo","BenMarco",3.9,2169,18.99,"2016"
"Malbec 2016","Argentina","Mendoza","Catena Alta",4.3,964,36.9,"2016"
"Malbec 2016","Argentina","Tupungato","Altosur",3.5,1602,8.49,"2016"
"Malbec 2016","Chile","Colchagua Valley","Polkura",4.1,56,21.45,"2016"
"Malbec 2016","France","Pays d'Oc","Leval",3.6,43,5.69,"2016"
"Malbec 2017","Argentina","Agrelo","Crios",3.6,3705,12.51,"2017"
"Malbec 2017","Argentina","Mendoza","Catena",4.1,10676,13.5,"2017"
"Malbec 2017","Argentina","Mendoza","Dante Robino",3.4,641,11.15,"2017"
"Malbec 2017","Argentina","Mendoza","Gran Lomo",3.4,2015,7.21,"2017"
"Malbec 2017","Argentina","Mendoza","Terrazas de los Andes",3.7,45,20.19,"2017"
"Malbec 2017","Argentina","Mendoza","Tinto Negro (TintoNegro)",3.7,798,13.95,"2017"
"Malbec 2018","Argentina","Lujan de Cuyo","Sottano",3.7,539,9.7,"2018"
"Malbec 2018","Argentina","Mendoza","Alamos",3.7,11920,8.4,"2018"
"Malbec 2018","Argentina","Mendoza","Anubis",3.7,469,9.99,"2018"
"Malbec 2018","Argentina","Mendoza","Argento",3.6,1117,9.99,"2018"
"Malbec 2018","Argentina","Mendoza","Kaiken",3.7,2696,7.35,"2018"
"Malbec 2018","Argentina","Mendoza","Pascual Toso",3.8,486,10.01,"2018"
"Malbec 2018","Argentina","Mendoza","Tinto Negro (TintoNegro)",3.5,539,9.99,"2018"
"Malbec 2018","France","Comté Tolosan","Carmelle",3.7,109,6.45,"2018"
"Malbec 2018","France","Vin de France","HornHead",3.8,241,8.19,"2018"
"Malbec 2018","South Africa","Stellenbosch","Neethlingshof Estate",4.1,191,11.5,"2018"
"Malbec 2019","Argentina","Mendoza","Alamos",3.7,671,7.31,"2019"
"Malbec 2019","Argentina","San Juan","Bodega Finca Las Moras",3.5,2585,6.21,"2019"
"Malbec 2019","Argentina","Tupungato","Domaine Bousquet",3.7,688,6.73,"2019"
"Malbec Argentino 2013","Argentina","Mendoza","Catena Zapata",3.8,4416,77.01,"2013"
"Malbec Argentino 2015","Argentina","Mendoza","Catena Zapata",4.4,4968,101.05,"2015"
"Malbec Argentino 2017","Argentina","Mendoza","Catena Zapata",4.6,1314,77.01,"2017"
"Malbec de Purcari 2018","Moldova","South Eastern","Château Purcari",4.1,107,11.98,"2018"
"Malbec du Clos 2017","France","Cahors","Jean-Luc Baldès",3.9,45,9.65,"2017"
"Malbec Estate 2017","Argentina","Calchaqui Valley","Colomé",4,1568,15.03,"2017"
"Malbec Reserva 2013","Argentina","Mendoza","Argento",3.5,424,18.79,"2013"
"Malbec Reserva 2017","Chile","Maule Valley","Apaltagua",3.6,199,10.5,"2017"
"Malbec Reserva 2018","Argentina","Lujan de Cuyo","Sottano",4,41,13.6,"2018"
"Maldoror 2005","France","Côtes de Bourg","Château Fougas",3.7,114,43.95,"2005"
"Malepère Rouge 2016","France","Malepère","Château de la Soujeole",3.8,318,15.69,"2016"
"Malleolus 2004","Spain","Ribera del Duero","Emilio Moro",4.3,50,99,"2004"
"Malleolus 2017","Spain","Ribera del Duero","Emilio Moro",4.3,1281,27.05,"2017"
"Malterdinger Alte Reben Spätburgunder 2016","Germany","Baden","Bernhard Huber",4.1,103,38.69,"2016"
"Malterdinger Spätburgunder 2016","Germany","Baden","Bernhard Huber",3.8,173,24.59,"2016"
"Malterdinger Spätburgunder 2017","Germany","Baden","Bernhard Huber",4.1,48,18,"2017"
"Malvasia Nera 2017","Italy","Salento","Vigneti Reale",3.6,73,7.28,"2017"
"Mamuthone Cannonau di Sardegna 2017","Italy","Cannonau di Sardegna","Giuseppe Sedilesu",4,42,15.4,"2017"
"Manastir 2017","Turkey","Southeastern Anatolia","Shiluh",4,67,13.6,"2017"
"Mandelpfad Spätburgunder GG 2011","Germany","Pfalz","Knipser",4.1,28,41.49,"2011"
"Mandus Primitivo di Manduria 2017","Italy","Primitivo di Manduria","Pietra Pura",4.1,1418,11.95,"2017"
"Mandus Primitivo di Manduria 2018","Italy","Primitivo di Manduria","Pietra Pura",4,90,7.63,"2018"
"Manor House Cabernet Sauvignon 2017","South Africa","Paarl","Nederburg",3.4,26,9.37,"2017"
"Manor House Shiraz 2016","South Africa","Paarl","Nederburg",3.7,86,9.72,"2016"
"Manso de Velasco Cabernet Sauvignon 2013","Chile","Curico Valley","Miguel Torres",4.2,684,43.99,"2013"
"Mantènghja 2015","Italy","Isola dei Nuraghi","Capichera",4.4,93,86.76,"2015"
"Manteo Red Blend 2015","United States","Sonoma County","Virginia Dare",3.9,320,25.57,"2015"
"Mantsch Lagrein Riserva 2016","Italy","Trentino-Alto Adige","Colterenzio (Schreckbichl)",3.7,143,19.01,"2016"
"Mar i Muntanya 2014","France","Côtes Catalanes","Domaine de l'Horizon",3.6,66,9.25,"2014"
"Marche Rosso 2015","Italy","Marche","Roberto Lucarelli",2.6,33,11.5,"2015"
"Marchesale 2014","Italy","Bolgheri Superiore","Terre del Marchesato",4.3,63,39,"2014"
"Marchese di Villamarina 2014","Italy","Alghero","Sella & Mosca",4.1,34,44.61,"2014"
"Marciliano 2011","Italy","Umbria","Falesco",4,62,41.28,"2011"
"Maremma Toscana 2015","Italy","Maremma Toscana","Rocca di Frassinello",4.2,254,35,"2015"
"Maremma Toscana Le Sughere di Frassinello 2015","Italy","Maremma Toscana","Rocca di Frassinello",3.9,1190,19.9,"2015"
"Maremma Toscana Ornello 2015","Italy","Maremma Toscana","Rocca di Frassinello",3.9,629,14.9,"2015"
"Maremma Toscana Sangiovese 2018","Italy","Maremma Toscana","Sassoregale",3.7,44,8.5,"2018"
"Maremmante Maremma 2016","Italy","Toscana","Poggio Argentiera",3.5,89,8.67,"2016"
"Margaux (Grand Cru Classé) 2004","France","Margaux","Château Giscours",4.2,1409,70.19,"2004"
"Margaux (Grand Cru Classé) 2005","France","Margaux","Château Boyd-Cantenac",4.2,517,75.95,"2005"
"Margaux (Grand Cru Classé) 2005","France","Margaux","Château Brane-Cantenac",4.4,1171,119.95,"2005"
"Margaux (Grand Cru Classé) 2005","France","Margaux","Château d'Issan",4.3,505,119.95,"2005"
"Margaux (Grand Cru Classé) 2005","France","Margaux","Château Lascombes",4.4,1464,127.95,"2005"
"Margaux (Grand Cru Classé) 2005","France","Margaux","Château Malescot St. Exupery",4.4,470,129.95,"2005"
"Margaux (Grand Cru Classé) 2005","France","Margaux","Château Palmer",4.7,964,316.95,"2005"
"Margaux (Grand Cru Classé) 2005","France","Margaux","Château Prieuré-Lichine",4.3,847,69.95,"2005"
"Margaux (Grand Cru Classé) 2005","France","Margaux","Château Rauzan-Ségla",4.4,808,139.95,"2005"
"Margaux (Grand Cru Classé) 2006","France","Margaux","Château Giscours",4.2,1712,59.95,"2006"
"Margaux (Grand Cru Classé) 2006","France","Margaux","Château Lascombes",4.3,805,79,"2006"
"Margaux (Grand Cru Classé) 2007","France","Margaux","Château Lascombes",4.2,455,74,"2007"
"Margaux (Grand Cru Classé) 2007","France","Margaux","Château Rauzan-Ségla",4.2,746,85,"2007"
"Margaux (Grand Cru Classé) 2008","France","Margaux","Château Cantenac Brown",4.1,651,68.55,"2008"
"Margaux (Grand Cru Classé) 2008","France","Margaux","Château d'Issan",4.1,605,78.95,"2008"
"Margaux (Grand Cru Classé) 2008","France","Margaux","Château Giscours",4.1,1514,75,"2008"
"Margaux (Grand Cru Classé) 2008","France","Margaux","Château Lascombes",3.9,683,64,"2008"
"Margaux (Grand Cru Classé) 2009","France","Margaux","Château Brane-Cantenac",4.2,1149,96.99,"2009"
"Margaux (Grand Cru Classé) 2009","France","Margaux","Château Lascombes",4.3,1595,126.13,"2009"
"Margaux (Grand Cru Classé) 2009","France","Margaux","Château Palmer",4.6,559,379,"2009"
"Margaux (Grand Cru Classé) 2010","France","Margaux","Château Giscours",4.3,2182,82.37,"2010"
"Margaux (Grand Cru Classé) 2010","France","Margaux","Château Lascombes",4.3,936,129,"2010"
"Margaux (Grand Cru Classé) 2010","France","Margaux","Château Malescot St. Exupery",4.3,888,117.95,"2010"
"Margaux (Grand Cru Classé) 2010","France","Margaux","Château Prieuré-Lichine",4.2,1094,79,"2010"
"Margaux (Grand Cru Classé) 2011","France","Margaux","Château Giscours",4.2,1896,58,"2011"
"Margaux (Grand Cru Classé) 2011","France","Margaux","Château Lascombes",4.2,1131,89,"2011"
"Margaux (Grand Cru Classé) 2011","France","Margaux","Château Rauzan-Ségla",4.1,352,109,"2011"
"Margaux (Grand Cru Classé) 2012","France","Margaux","Château Durfort-Vivens",4,462,43.82,"2012"
"Margaux (Grand Cru Classé) 2012","France","Margaux","Château Giscours",4.2,2148,57.51,"2012"
"Margaux (Grand Cru Classé) 2013","France","Margaux","Château du Tertre",3.8,498,42,"2013"
"Margaux (Grand Cru Classé) 2013","France","Margaux","Château Giscours",4,986,64.33,"2013"
"Margaux (Grand Cru Classé) 2013","France","Margaux","Château Rauzan-Ségla",3.9,376,67.26,"2013"
"Margaux (Grand Cru Classé) 2014","France","Margaux","Château Brane-Cantenac",4.1,669,58.44,"2014"
"Margaux (Grand Cru Classé) 2014","France","Margaux","Château Cantenac Brown",4.1,559,54.95,"2014"
"Margaux (Grand Cru Classé) 2014","France","Margaux","Château Desmirail",3.9,192,46.7,"2014"
"Margaux (Grand Cru Classé) 2014","France","Margaux","Château Ferrière",3.8,334,38.94,"2014"
"Margaux (Grand Cru Classé) 2014","France","Margaux","Château Kirwan",4.1,512,52,"2014"
"Margaux (Grand Cru Classé) 2014","France","Margaux","Château Palmer",4.4,218,287.56,"2014"
"Margaux (Grand Cru Classé) 2014","France","Margaux","Château Rauzan-Ségla",4.1,343,130.97,"2014"
"Margaux (Grand Cru Classé) 2015","France","Margaux","Château Brane-Cantenac",4.2,486,87.24,"2015"
"Margaux (Grand Cru Classé) 2015","France","Margaux","Château d'Issan",4.2,299,65.95,"2015"
"Margaux (Grand Cru Classé) 2015","France","Margaux","Château Desmirail",4.1,311,43.82,"2015"
"Margaux (Grand Cru Classé) 2015","France","Margaux","Château Malescot St. Exupery",4.3,274,87.95,"2015"
"Margaux (Grand Cru Classé) 2015","France","Margaux","Château Marquis d'Alesme",4,190,56.95,"2015"
"Margaux (Grand Cru Classé) 2015","France","Margaux","Château Marquis de Terme",4.1,404,55.1,"2015"
"Margaux (Grand Cru Classé) 2015","France","Margaux","Château Prieuré-Lichine",4.2,522,53,"2015"
"Margaux (Grand Cru Classé) 2016","France","Margaux","Château Brane-Cantenac",4.2,311,96.51,"2016"
"Margaux (Grand Cru Classé) 2016","France","Margaux","Château d'Issan",4.2,193,107.79,"2016"
"Margaux (Grand Cru Classé) 2016","France","Margaux","Château Dauzac",4.1,222,68.14,"2016"
"Margaux (Grand Cru Classé) 2016","France","Margaux","Château Desmirail",3.8,98,53.13,"2016"
"Margaux (Grand Cru Classé) 2016","France","Margaux","Château Giscours",4.1,490,82.37,"2016"
"Margaux (Grand Cru Classé) 2016","France","Margaux","Château Lascombes",4.1,271,89,"2016"
"Margaux (Grand Cru Classé) 2016","France","Margaux","Château Malescot St. Exupery",4.2,163,94.24,"2016"
"Margaux (Grand Cru Classé) 2016","France","Margaux","Château Marquis d'Alesme",4.1,121,53.61,"2016"
"Margaux (Grand Cru Classé) 2016","France","Margaux","Château Marquis de Terme",3.9,176,56,"2016"
"Margaux (Grand Cru Classé) 2016","France","Margaux","Château Palmer",4.7,73,437.68,"2016"
"Margaux (Grand Cru Classé) 2016","France","Margaux","Château Prieuré-Lichine",4.1,321,49.95,"2016"
"Margaux (Grand Cru Classé) 2016","France","Margaux","Château Rauzan-Ségla",4.2,203,140.6,"2016"
"Margaux (Grand Cru Classé) 2017","France","Margaux","Château Brane-Cantenac",3.9,93,86.76,"2017"
"Margaux (Grand Cru Classé) 2017","France","Margaux","Château Ferrière",3.8,43,46.79,"2017"
"Margaux (Grand Cru Classé) 2017","France","Margaux","Château Giscours",3.8,124,70.19,"2017"
"Margaux (Grand Cru Classé) 2017","France","Margaux","Château Lascombes",4,107,86.76,"2017"
"Margaux (Grand Cru Classé) 2017","France","Margaux","Château Marquis de Terme",3.8,48,50.69,"2017"
"Margaux (Grand Cru Classé) 2017","France","Margaux","Château Rauzan-Ségla",4,63,95.53,"2017"
"Margaux 2005","France","Margaux","Château La Gurgue",4,118,39.95,"2005"
"Margaux 2005","France","Margaux","Château La Tour de Mons",4.1,288,39.95,"2005"
"Margaux 2005","France","Margaux","Château Labégorce",4,667,57.95,"2005"
"Margaux 2005","France","Margaux","Château Monbrison",4.1,228,47.95,"2005"
"Margaux 2005","France","Margaux","Château Rauzan-Gassies",4.1,409,69.95,"2005"
"Margaux 2009","France","Margaux","Château Siran",3.9,329,22.37,"2009"
"Margaux 2010","France","Margaux","Château Labégorce",4,1016,40.95,"2010"
"Margaux 2010","France","Margaux","Château Rauzan-Gassies",4.2,607,106.74,"2010"
"Margaux 2010","France","Margaux","Château Siran",3.9,624,19.45,"2010"
"Margaux 2011","France","Margaux","Château Monbrison",3.8,231,34.07,"2011"
"Margaux 2012","France","Margaux","Château des Graviers",4.1,171,36.3,"2012"
"Margaux 2012","France","Margaux","Château La Tour de Mons",3.8,734,24.57,"2012"
"Margaux 2013","France","Margaux","Château Monbrison",4.1,167,32,"2013"
"Margaux 2014","France","Margaux","Château Labégorce",3.9,876,28.65,"2014"
"Margaux 2014","France","Margaux","Château Le Coteau",4,258,22.9,"2014"
"Margaux 2015","France","Margaux","Château La Gurgue",4,166,32.41,"2015"
"Margaux 2015","France","Margaux","Château La Tour de Mons",3.9,653,25.24,"2015"
"Margaux 2015","France","Margaux","Château Marsac Séguineau",4.1,339,25.15,"2015"
"Margaux 2015","France","Margaux","Château Siran",4,549,54.14,"2015"
"Margaux 2016","France","Margaux","Château La Tour de Mons",4.1,409,34.32,"2016"
"Margaux 2016","France","Margaux","Château Labégorce",3.9,315,41.9,"2016"
"Margaux 2016","France","Margaux","Château Les Barraillots",4.1,83,17.45,"2016"
"Margaux 2016","France","Margaux","Château Mongravey",3.9,166,27.95,"2016"
"Margaux 2016","France","Margaux","Château Pontac Lynch",4.1,59,45.18,"2016"
"Margaux 2016","France","Margaux","Château Rauzan-Gassies",4,123,88,"2016"
"Margaux 2016","France","Margaux","Château Siran",3.8,189,38.94,"2016"
"Margaux 2017","France","Margaux","Château Labégorce",3.8,60,29.05,"2017"
"Margaux 2017","France","Margaux","Château Marsac Séguineau",4.1,46,25.99,"2017"
"Margaux de Brane (Margaux de Henri Lurton) 2014","France","Margaux","Château Brane-Cantenac",3.8,1070,34.2,"2014"
"Margaux de Brane (Margaux de Henri Lurton) 2015","France","Margaux","Château Brane-Cantenac",3.9,986,34.2,"2015"
"María 2016","Spain","Valencia","De Moya",4,380,10.9,"2016"
"Maria Adelaide Barbaresco 2004","Italy","Barbaresco","Bruno Rocca",4.5,45,145.5,"2004"
"Marienthal Trotzenberg Spätburgunder 2016","Germany","Ahr","Julia Bertram",4.1,26,38,"2016"
"Marion's Vineyard Pinot Noir 2016","New Zealand","Wairarapa","Schubert",4,100,43.87,"2016"
"Marionette Monastrell - Syrah 2017","Spain","Jumilla","EGO",3.7,370,7.5,"2017"
"Marius Grenache - Syrah 2018","France","Pays d'Oc","M. Chapoutier",3.5,888,6.5,"2018"
"Marius Grenache - Syrah 2019","France","Pays d'Oc","M. Chapoutier",3.8,286,6.5,"2019"
"Marlborough Pinot Noir 2016","New Zealand","Marlborough","Wild Rock",3.7,243,22.5,"2016"
"Marne 180 Amarone della Valpolicella 2015","Italy","Amarone della Valpolicella","Tedeschi",4.3,1106,31.9,"2015"
"Maroccoli Syrah 2011","Italy","Menfi","Planeta",3.9,809,18.92,"2011"
"Maroccoli Syrah 2013","Italy","Menfi","Planeta",3.8,357,26.21,"2013"
"Maroccoli Syrah 2014","Italy","Menfi","Planeta",4,409,22,"2014"
"Maroccoli Syrah 2015","Italy","Menfi","Planeta",4,284,20.29,"2015"
"Marogne Valpolicella Ripasso Superiore 2017","Italy","Valpolicella Ripasso","Zeni",4,738,13.1,"2017"
"Maronea Bolgheri (Superiore) 2013","Italy","Bolgheri Superiore","Casa di Terra",4.2,171,45,"2013"
"Maronea Bolgheri (Superiore) 2015","Italy","Bolgheri Superiore","Casa di Terra",4,44,42.01,"2015"
"Marquês de Montemor 2017","Portugal","Alentejano","Quinta da Plansel",3.6,391,4.85,"2017"
"Marquis de Calon Saint-Estèphe 2014","France","Saint-Estèphe","Château Calon-Ségur",3.9,1212,24.9,"2014"
"Marquis de Calon Saint-Estèphe 2015","France","Saint-Estèphe","Château Calon-Ségur",3.9,1001,43.28,"2015"
"Marquise de La Tourette Hermitage Rouge 2004","France","Hermitage","Delas",4.1,35,43.87,"2004"
"Marsannay 'Les Echezots' 2014","France","Marsannay","Domaine Ballorin",3.6,42,31.48,"2014"
"Martelo Reserva 2012","Spain","Rioja","Torre de Oña",4,110,28.41,"2012"
"Marteto Morellino di Scansano 2018","Italy","Morellino di Scansano","Bruni",3.6,84,10.63,"2018"
"Martin Melck Cabernet Sauvignon 2012","South Africa","Stellenbosch","Muratie",3.9,43,17.29,"2012"
"Martin Melck Cabernet Sauvignon 2015","South Africa","Stellenbosch","Muratie",4.1,122,13.99,"2015"
"Mas Collet Barrica 2009","Spain","Montsant","Capçanes",3.5,104,21.91,"2009"
"Mas de Canet Tinto 2018","Spain","Mallorca","Tianna Negre",3.1,27,7.99,"2018"
"Mas de Leda 2016","Spain","Castilla y León","Leda",3.6,63,15.5,"2016"
"Mas Donis Negre 2017","Spain","Montsant","Capçanes",3.6,218,6.77,"2017"
"Mas La Plana Cabernet Sauvignon 2002","Spain","Penedès","Torres",4.3,246,46.29,"2002"
"Mas La Plana Cabernet Sauvignon 2012","Spain","Penedès","Torres",4.2,1801,66.79,"2012"
"Mas La Plana Cabernet Sauvignon 2013","Spain","Penedès","Torres",4.3,2135,63.05,"2013"
"Mas La Plana Cabernet Sauvignon 2015","Spain","Penedès","Torres",4.3,595,65.17,"2015"
"Mas Mallola 2016","Spain","Priorat","Marco Abella",4.2,168,27.32,"2016"
"Mas Oliveras Tempranillo 2018","Spain","Catalunya","Ramón Roqueta",3.2,106,6.5,"2018"
"Mas Picosa Flor En Flor Montsant 2018","Spain","Montsant","Capçanes",3.7,272,7.9,"2018"
"Mas Rabell 2017","Spain","Catalunya","Torres",3.8,936,7.2,"2017"
"Mas Rabell Tempranillo 2017","Spain","Penedès","Torres",3.5,64,7.85,"2017"
"Masca 2016","Italy","Maremma Toscana","Roccapesta",3.7,25,11.9,"2016"
"Mason Pinot Nero 2017","Italy","Südtirol - Alto Adige","Manincor",4.1,138,27.2,"2017"
"Massaluca 2017","Spain","Terra Alta","Ramón Roqueta",3.8,232,11.02,"2017"
"Massaluca 2018","Spain","Terra Alta","Ramón Roqueta",3.9,72,14.52,"2018"
"Massimo 2015","Italy","Veneto","Lenotti",4,94,13.9,"2015"
"Massiv 2015","Austria","Neusiedlersee","Keringer",4.3,478,34,"2015"
"Matacà Negre 2017","Spain","Mallorca","Cap Andritxol",3.5,26,13.45,"2017"
"Matallana 2010","Spain","Ribera del Duero","Telmo Rodriguez",4,125,81.95,"2010"
"Maternigo Valpolicella Superiore 2016","Italy","Valpolicella","Tedeschi",4.1,69,17.9,"2016"
"Matero 2018","Italy","Toscana","Carlo Gentili",3.4,40,5.75,"2018"
"Mathilde Saint-Emilion Grand Cru 2010","France","Saint-Émilion Grand Cru","Château La Fleur Morange",3.8,162,39.95,"2010"
"Mathilde Saint-Emilion Grand Cru 2015","France","Saint-Émilion Grand Cru","Château La Fleur Morange",3.8,52,26.95,"2015"
"Matilda Plains Cabernet - Shiraz 2017","Australia","Langhorne Creek","Bremerton",3.9,33,9.55,"2017"
"Matura Trocken 2016","Germany","Pfalz","Studier",3.6,54,8.68,"2016"
"Maurizio Zanella Sebino 2016","Italy","Sebino","Ca' del Bosco",4.3,33,49.5,"2016"
"Mavrotragano 2016","Greece","Santorini","Domaine Sigalas",4.2,136,36.95,"2016"
"Mavum Corvina - Cabernet Sauvignon 2015","Italy","Veneto","Maurizio B Martino MBM",3.6,152,7.19,"2015"
"Max 2016","South Africa","Coastal Region","Miles Mossop Wines",4.1,73,26.25,"2016"
"Max Reserva Blend 2014","Chile","Aconcagua Valley","Errazuriz",3.7,252,16.9,"2014"
"Max Reserva Cabernet Sauvignon 2014","Chile","Aconcagua Valley","Errazuriz",3.7,2567,14.5,"2014"
"Max Reserva Cabernet Sauvignon 2015","Chile","Aconcagua Valley","Errazuriz",3.8,4134,13.55,"2015"
"Max Reserva Cabernet Sauvignon 2017","Chile","Aconcagua Valley","Errazuriz",3.7,1861,14.13,"2017"
"Max Reserva Carmenère 2016","Chile","Aconcagua Valley","Errazuriz",3.9,2259,14.53,"2016"
"Max Reserva Carmenère 2017","Chile","Aconcagua Valley","Errazuriz",3.8,864,13.9,"2017"
"Max Reserva Merlot 2015","Chile","Aconcagua Valley","Errazuriz",3.7,387,13.55,"2015"
"Max Reserva Merlot 2017","Chile","Aconcagua Valley","Errazuriz",3.7,137,14.9,"2017"
"Max Reserva Syrah 2015","Chile","Aconcagua Valley","Errazuriz",3.6,559,13.55,"2015"
"Max VIII 150 Anos 2017","Chile","Aconcagua","Errazuriz",3.4,25,23.4,"2017"
"Max's Shiraz - Cabernet 2017","Australia","South Australia","Penfolds",4,259,29.28,"2017"
"Max's Shiraz - Cabernet 2018","Australia","South Australia","Penfolds",3.8,207,24.39,"2018"
"Maxim Cabernet Sauvignon 2015","South Africa","Robertson","Goedverwacht",4.2,27,17.06,"2015"
"Maximus 2015","Germany","Rheinhessen","Pfannebecker",3.9,37,14.9,"2015"
"Mayro Montepulciano d'Abruzzo 2015","Italy","Montepulciano d'Abruzzo","Fosso Corno",3.7,107,7.75,"2015"
"Mayro Montepulciano d'Abruzzo 2017","Italy","Montepulciano d'Abruzzo","Fosso Corno",3.8,44,6.9,"2017"
"Mazér Inferno Valtellina Superiore 2016","Italy","Valtellina Superiore","Nino Negri",3.8,172,12.18,"2016"
"Mazis-Chambertin Grand Cru 2008","France","Mazis-Chambertin Grand Cru","Domaine Tortochot",4.5,33,185.95,"2008"
"Mazzamurello Montepulciano d'Abruzzo 2016","Italy","Montepulciano d'Abruzzo","Torre dei Beati",4.2,60,35.26,"2016"
"Mazzano Amarone Della Valpolicella Classico 2011","Italy","Amarone della Valpolicella Classico","Masi",4.5,449,125,"2011"
"Meandro Douro Tinto 2017","Portugal","Douro","Quinta do Vale Meão",4,1381,15.5,"2017"
"Medalla Real (Gran Reserva) Cabernet Sauvignon 2016","Chile","Maipo Valley","Santa Rita",3.6,1461,13.15,"2016"
"Medium Sweet Tinto 2018","Portugal","Lisboa","Portada",4,490,6.83,"2018"
"Médoc 2005","France","Médoc","Château d'Escurac",3.7,120,25.95,"2005"
"Médoc 2005","France","Médoc","Château Rollan de By",3.9,303,34.95,"2005"
"Médoc 2005","France","Médoc","Château Tour Seran",3.8,74,28.95,"2005"
"Médoc 2008","France","Médoc","Château La Cardonne",3.5,872,23.34,"2008"
"Médoc 2009","France","Médoc","Château La Cardonne",3.8,1187,25.92,"2009"
"Médoc 2010","France","Médoc","Château Cardus",3.7,122,14.9,"2010"
"Médoc 2010","France","Médoc","Château d'Escurac",3.8,326,18.42,"2010"
"Médoc 2010","France","Médoc","Château Ramafort",3.8,504,19.9,"2010"
"Médoc 2011","France","Médoc","Château Haut Condissas",4.2,97,48.43,"2011"
"Médoc 2011","France","Médoc","Château La Cardonne",3.5,60,21.9,"2011"
"Médoc 2011","France","Médoc","Château La Gorce",3.9,495,23,"2011"
"Médoc 2012","France","Médoc","Château La Cardonne",3.7,157,20.5,"2012"
"Médoc 2012","France","Médoc","Château Lousteauneuf",3.8,318,18.9,"2012"
"Médoc 2012","France","Médoc","Château Patache d'Aux",3.7,778,20.09,"2012"
"Médoc 2012","France","Médoc","Château Potensac",3.8,1033,39.69,"2012"
